Data i czas,CO2,Temperatura,WilgotnoÅÄ,PM1.0,PM2.5,PM10,Promieniowanie,Dawka/h
2025-05-15T17:41:09,998,26,36,22,31,36,30,0
2025-05-15T17:41:20,-1,-1,-1,21,31,-1,-1,-1
2025-05-15T17:41:21,1011,26,36,-1,-1,-1,12,0
2025-05-15T17:43:56,970,26,36,22,30,45,12,0
2025-05-15T17:44:07,970,26,36,21,28,39,0,0
2025-05-15T17:44:18,970,26,36,21,28,39,0,0
2025-05-15T17:44:19,970,26,36,21,28,39,0,0
2025-05-15T17:44:24,974,26,36,19,28,31,24,0
2025-05-15T17:44:36,978,26,36,19,26,29,36,0
2025-05-15T17:44:53,980,26,36,20,30,45,6,0
2025-05-15T17:48:39,970,26,36,19,25,28,12,0
2025-05-15T17:48:45,1003,26,36,19,24,27,6,0
2025-05-15T17:48:56,1000,26,36,17,22,26,0,0
2025-05-15T17:49:08,1005,26,36,16,22,29,0,0
2025-05-15T17:49:19,1005,26,36,18,27,32,6,0
2025-05-15T17:49:25,1003,26,36,20,30,33,18,0
2025-05-15T17:51:27,987,26,36,18,24,31,24,0
2025-05-15T17:51:39,1011,26,36,18,25,28,24,0
2025-05-15T17:55:01,998,26,36,18,25,30,24,0
2025-05-15T17:55:12,998,26,36,18,25,30,24,0
2025-05-15T17:55:13,998,26,36,18,25,30,24,0
2025-05-15T17:55:29,998,26,36,18,25,30,24,0
2025-05-15T17:55:30,998,26,36,18,25,30,24,0
2025-05-15T17:55:41,998,26,36,14,20,28,12,0
2025-05-15T17:55:52,998,26,36,16,23,23,12,0
2025-05-15T17:55:58,998,26,36,17,24,24,18,0
2025-05-15T17:56:09,998,26,36,17,24,24,18,0
2025-05-15T17:56:10,998,26,36,17,24,24,18,0
2025-05-15T17:56:15,1003,26,36,14,22,34,12,0
2025-05-15T17:56:27,1002,26,36,16,24,37,6,0
2025-05-15T17:56:32,1002,26,36,16,24,37,6,0
2025-05-15T17:56:33,1002,26,36,16,24,37,6,0
